,ITEM_CODE,ITEM_NAME
150,15145,STRIPPING TOOL
151,15146,"IWLAN RCOAX CABLE PE 1/2"" 5 GHZ"
152,15147,MALE TERMINATION IMPEDANCE TI795-1R 2.4 AND 5 GHZ
153,15148,ANTENNA
154,15161,TERMINAL BLOCK
155,15162,CRIMP CONTACT
156,15163,"INLINE, DIGITAL OUTPUT TERMINAL"
157,15164,DEVICE CONNECTOR FRONT MOUNTING
158,15166,CONTACT INSERT MODULE
159,15167,MOTOR STARTER
160,15168,"SIDE ELEMENT WITH FOOT, 5 MM WIDE (LEFT), FOR MOUNTING ON NS 32 OR NS 35/7.5. PCB WIDTH: 107.5 MM"
161,15171,"ONNECTION, LOAD CONTACT, CROSS SECTION: 0.14 MM2 - 4 MM2, PUSH-IN CONNECTION, LINE CONTACT, RATED CROSS SECTION: 6 MM2, CROSS SECTION: 0.5 MM2 - 10 MM2, MOUNTING TYPE: NS 35/7,5, NS 35/15, COLOR: GRAY"
162,15172,SOCKET
163,15174,STAND ALONE WIRELESS MODULE
164,15175,COMPONENT PLUG TERMINAL BLOCK
165,15176,TERMINAL BLOCK
166,15177,END COVER
167,15178,TERMINAL BLOCK
168,15179,END COVER
169,15180,ELECTRONIC CIRCUIT BREAKER
170,15181,MODULAR CONTACT INSERT
171,15183,COMPONENT CONNECTOR
172,15184,". VOLTAGE: 500 V, NOMINAL CURRENT: 17.5 A, CONNECTION METHOD: PUSH-IN CONNECTION, 1 LEVEL, RATED CROSS SECTION: 1.5 MM2, CROSS SECTION: 0.14 MM2 - 1.5 MM2, MOUNTING TYPE: PLUG-IN MOUNTING, COLOR: GRAY"
173,15186,TERMINAL BLOCK
174,15192,DOME LIGHT
175,15195,INDICATOR-RYB 18 TO 30 V DC
176,15197,INSERTION BRIDGE
177,15200,SAFETY RELAY
178,15204,POWER CONTACT INSERT MODULE
179,15212,ANTENNA- 6000MHZ23DB
180,15213,VFD
181,15214,VFD
182,15215,SIGNAL CABLE PRE-ASSEMBLED
183,15216,SIGNAL CONNECTOR
184,15217,CONTROLER UNIT
185,15218,CONTROLER UNIT
186,15221,ANALOG OUTPUT MODULE
187,15222,UPS- 240W24V
188,15223,UPS
189,15225,BRAKE CABLE
190,15226,POWER CABLE PRE-ASSEMBLED
191,15227,WIFI MODULE
192,15229,CONNECTOR
193,15230,CIRCULAR CONNECTOR (CABLE-SIDE)
194,15233,CONNECTOR - RJ45
195,15238,ELECTRONIC CIRCUIT BREAKER
196,15240,ELECTRONIC CIRCUIT BREAKER
197,15241,ELECTRONIC CIRCUIT BREAKER
198,15243,DISTRIBUTION BLOCK
199,15244,DISTRIBUTION BLOCK
200,15250,CONNECTOR-5PMALE16A0.14 TO 2.5MM2WHITE
201,17181,CONTACTOR
202,17182,SINGLE CONTACT BLOCK
203,17184,2D LIDAR SENSORS
204,17187,USB HUB
205,17188,INDUSTRIAL USB 2.0 HUB
206,17190,FLIGHT CONTROLLER
207,17191,PANELVIEW PLUS 7 STANDARD 10 TERMINAL
208,17192,CONTROLLER- 0.75KW 3PHASE 323 TO 528V AC
209,17193,SINGLE-ACTING 24 VOLTS DC CONTACTOR 80A
210,17196,REFLECTORS AND OPTICS / REFLECTORS / FINE TRIPLE REFLECTORS
211,17197,SENSOR
212,17198,LASER SCANNER
213,17199,PLUG
214,17210,"CABLE,POWER,5M,WITH BRAKE WIRE"
215,17211,SAFETY LIMIT SWITCH1 NC1NOOLLER LEVER
216,17214,SENSOR CONNECTION MODULE
217,17215,POLARIZED RETRO-REFLECTIVE PHOTOELECTRIC SENSOR
218,17216,CONNECTING CABLE
219,17217,WIRE DRAW ENCODERS
220,17218,CONNECTOR CABLE
221,17219,MOTION CONTROL MODULE
222,17220,INDUCTIVE PROXIMITY SENSOR
223,17221,MOUNTING SYSTEM
224,17222,LIMIT SWITCH
225,17223,SAFETY LIGHT CURTAIN
226,17224,SAFETY LIGHT CURTAIN
227,17225,SAFETY LIGHT CURTAINS
228,17226,SYSTEM PLUG
229,17227,MOUTNING BRACKET
230,17228,MUTING CONNECTOR
231,17230,PLUG CONNECTORS AND CABLE
232,17232,CONTACTOR-1P150A48VDC
233,17233,CONTACTOR
234,17237,PROXIMITY SENSOR
235,17238,CABLE
236,17239,LED STRIP LIGHT
237,17240,CONNECTOR
238,17241,PUSHBUTTON SWITCH
239,17244,CONNECTING CABLE
240,17245,CABLE
241,17247,CONTROLLER ACCESSORIES CP1E BATTERY
242,17249,GENERAL PURPOSE LIMIT SWITCH
243,17251,FLEXIBLE EXTENSION CABLE
244,17252,CONNECTOR
245,17253,INDUCTIVE PROXIMITY SENSORS IME
246,17254,CABLE
247,17255,CABLE
248,17256,SAFETY SYSTEMS FOR AGVS AND AMRS
249,17257,MULTITASK PHOTOELECTRIC SENSORS POWERPROX
250,17258,PLUG CONNECTORS AND CABLE
251,17260,SAFETY LASER SCANNER
252,17261,SAFETY SYSTEM
253,17262,SYSTEM PLUG
254,17263,SAFETY SYSTEM
255,17265,CONVERTER CABLE
256,17266,SERVO MOTOR
257,17270,TOWER LIGHT
258,17271,SINGLE CONTACT BLOCK
259,17275,DRIVE BRAKE CABLE
260,17276,DRIVE POWER CABLE
261,17277,DRIVE ENCODER CABLE
262,17278,SMPS-50W24V2.2A
263,17279,2D LIDAR
264,17281,OPTICAL READING HEAD
265,17282,MOUNTING AID
266,17284,RETROREFLECTIVE SENSOR
267,17286,INDUCTIVE PROXIMITY SENSORS
268,17287,MINIATURE PHOTOELECTRIC SENSORS
269,17292,CONTACTOR
270,17293,KEY SWITCH
271,17297,M8 4 PIN SOCKET TO FREE LEADS
272,17300,DATA MATRIX TAG PGV85-CT4
273,17301,PROTECTIVE LAMINATE
274,17302,2-D LIDAR SENSOR
275,17303,FEMALE CORDSET SINGLE-ENDED
276,17304,CABLE GLAND
277,17306,MINIATURE PHOTOELECTRIC SENSORS
278,17307,INDUCTIVE PROXIMITY SENSORS
279,17308,MOUNTING SYSTEM
280,17310,MINIATURE PHOTOELECTRIC SENSORS
281,17311,INCREMENTAL ENCODER
282,17313,"CONFIGURATION CABLE WITH INTEGRATED RS-232 TRANSDUCER ON USB FOR CONNECTING A SENSOR CONFIGURATION CONNECTION (M8, 4-PIN) TO THE USB INTERFACE OF A PC"
283,17314,"HOUSINGCYLINDRICAL THREAD DESIGN,HOUSINGSHORT-BODY,THREAD SIZEM8 X 1,DIAMETER 8 MM,SENSING RANGE SN6 MM,SAFE SENSING RANGE SA4.86 MM"
284,17315,PHOTOELECTRIC SENSOR
285,17317,"ONNECTORSCREW CONNECTION,CONNECTOR MATERIALTPU,CONNECTOR COLORBLACK,LOCKING NUT MATERIALZINC DIE-CAST, NICKEL-PLATED,SEAL MATERIALFKM,TIGHTENING TORQUE0.4 NM,WIDTH ACROSS FLATS9,CABLE10 M, 3-WIRE, PVC"
286,17323,"CTANGULAR,SENSING RANGE MAX.20 MM ... 1,600 MM 1)TYPE OF LIGHTVISIBLE RED LIGHT,LIGHT SOURCEPINPOINT LED 2),LIGHT SPOT SIZE (DISTANCE) 8 MM (700 MM),WAVE LENGTH625 NM,ADJUSTMENTPOTENTIOMETER, 5 TURNS"
287,17324,INDUCTIVE PROXIMITY SENSORS
288,17326,MOUNTING SYSTEMS
289,17327,PLUG CONNECTORS AND CABLES
290,17332,PLUG CONNECTORS AND CABLE
291,17334,FANLESS EMBEDDED BOX PC
292,17335,FANLESS EMBEDDED BOX PC
293,17336,SINGLE BOARD COMPUTER
294,17339,CPU COOLER
295,17340,SINGLE BOARD COMPUTER
296,17341,SINGLE BOARD COMPUTER
297,17342,CONTROLLER
298,17344,SBC
299,17345,SINGLE BOARD COMPUTER
300,17346,"LED STRIP,96 LEDS/METER"
301,17351,"SUPPLY VOLTAGE VSDC 18 V ... 30 V,POWER CONSUMPTION= 4.8 W 1)CONNECTION TYPECONNECTOR, M12, 4-PIN"
302,17353,LEGEND FOR E-STOP
303,17354,ILLUMINATED RED PUSHBUTTON
304,17355,"MCB-2P,1A"
305,17357,TESYS D CONTACTOR - 3P(3 NO) - AC-3 - <= 440 V 32 A - 220 V AC COIL
306,17360,FEMALE CONNECTOR M12 STRAIGHT A-CODED 8-PIN
307,17361,BAR CODE TAPE
308,17365,CAMERA BASEDD LINEAR POSITIONING SENSOR
309,17366,SINGLE-ACTING 24 VOLTS DC CONTACTOR 180A
310,17375,"MALE CONNECTOR, FIELD-ATTACHABLE"
311,17376,DISTANCE SENSOR
312,17377,FEMALE CONNECTOR FIELD-ATTACHABLE
313,17378,"FEMALE CORDSET, FIELD ATTACHABLE"
314,17379,"FEMALE CONNECTOR, FIELD-ATTACHABLE"
315,17381,"FEMALE CONNECTOR, FIELD-ATTACHABLE"
316,17382,REFLECTIVE TAPE
317,17383,DISTANCE SENSOR
318,17384,OPTICAL DATA COUPLER
319,17385,OPTICAL DATA COUPLER
320,17386,FEMALE CORDSET
321,17387,FIELDBUS MODULE
322,17389,PRE FAB CABLE - USB USB FEMALE CONNECTOR M12 8-PIN USB-MALE CONNECTOR
323,17392,PN: NBB8-18GM50-E2-V1 INDUCTIVE SENSOR MAKE: P&F
324,17394,PGV BARCODE SCANNER
325,17395,POWER CABLE M12-5A 5M
326,17396,"KSS ET-M12-4A-RJ45-A-P7-050,INTERCONNECTION CABLE 5M"
327,17398,"KB USB A - USB MINIB,SERVICE LINE 1.5 M"
328,17399,"CSL505-T100-1900-M8,LIGHT CURTAIN TRANSMITTER. 100MM 1900 MM HEIGHT"
329,17400,"LIGHT CURTAIN RECEIVER 100MM, 1900 MM HEIGHT"
330,17401,"KD U-M8-4A-V1-050,CONNECTION CABLE"
331,17404,"LEUZE LIGHT CURTAINS, CSL 505 SERIES. TRANSMITTER"
332,17405,SWITCH BODY FOR SWITCH-DISCONNECTOR
333,17406,"LEUZE LIGHT CURTAINS, CSL 505 SERIES. RECEIVER"
334,17407,MOTOR CIRCUIT BREAKER
335,17408,COMB BUSBAR
336,17409,PILOT LIGHT YELLOW
337,17410,SWITCH
338,17411,MCB
339,17412,AUXILIARY CONTACT BLOCK 1 NO + 1 NC
340,17413,CONTACTOR - 3P
341,17414,REFLECTOR ROUND
342,17415,CONNECTOR WITH SCREW TERMINALS
343,17416,"LEUZE KS 095-4A: CONNECTOR - 50040155. HREAD SIZE: M12, TYPE: MALE, NO. OF PINS: 4 -PIN, ENCODING: A-CODED, DESIGN: AXIAL"
344,17418,5 PIN FEMALE CONNECTOR
345,17419,STATIONARY BAR CODE READER
346,17420,"DESIGNCUBIC,DIMENSION (W X H X L)64 MM X 33.5 MM X 43.5 MMHOUSING MATERIALMETAL,METAL HOUSINGDIECAST ALUMINUM,NET WEIGHT70 G,HOUSING COLORBLACK"
347,17422,CONNECTION CABLE
348,17425,TESYS VARIO - ADDITIONAL NEUTRAL BLOCK - 40 A - FOR V02...V2
349,17428,ISOLATOR
350,17429,CONTACTOR-3P32A24VDC
351,17430,PILOT LIGHT 3 PHASES
352,17431,HEAVY DUTY POWER CONNECTOR
353,17433,CRIMP
354,17434,CRIMP
355,17437,LIDAR
356,17438,PRE FAB CABLE-5000MMM12RJ45STRAIGHTSHIELDEDFEMALE
357,17439,DATAMAN 260 SERIES COMPACT FIXED-MOUNT BARCODE READER
358,17444,BARCODE SCANNER-LASERFIXED2D
359,17445,FLAT VARI-TWIST CABLE
360,17446,CHARGING CONTACT
361,17447,STANDARD FEED THROUGH TERMINAL BLOCK
362,17448,SENSOR
363,17450,SENSOR CABLE
364,17451,INDUCTIVE PROXIMITY SENSOR
365,17452,SENSOR - INDUCTIVE PNP 20MM
366,17453,CABLE
367,17455,MOUNTING SYSTEM
368,17456,DIFFUSIVE SENSOR
369,17457,END CAP 0831 4P L=74MM
370,17458,RUBBER BUMPER PADS
371,17464,"SEAL MATERIAL FKM TIGHTENING TORQUE 0.4 NM WIDTH ACROSS FLATS 9 CABLE 5 M, 3-WIRE, PVC JACKET MATERIAL PVC JACKET COLOR GRAY CABLE DIAMETER 4.5 MM CONDUCTOR CROSS-SECTION 0.25 MM<POW2> SHIELDING UNSHIELDED"
372,17465,ENCODER - INCSAFETYHOLLOW24V DC
373,17466,PRE FAB CABLE-5MM12FREESTRAIGHTNON-SHIELDEDFEMALE
374,17467,MINIATURE PHOTOELECTRIC SENSORS
375,17468,ULTRASONIC SENSORS
376,17471,"MCB-1P,4A"
377,17474,SELECTOR SWITCH
378,17479,INDICATOR
379,17481,MCB - 2P - 40 A
380,17482,MINIATURE CIRCUIT BREAKER
381,17483,PUSH BUTTOON
382,17484,PUSH BUTTON
383,17485,SWITCH DISCONNECTOR
384,17488,MOTION CONTROL
385,17489,MOTION CONTROL
386,17490,ELECTROMAGNETIC RELAY
387,17493,MCB
388,17494,MCB
389,17495,MCB
390,17499,STATIONARY 2D-CODE READER
391,17502,SAFETY LIGHT CURTAIN -TRNSFR900 MM24V DC
392,17503,WIRE  4G 2.5 SQMM
393,17520,1C X 50SQ MM CABLE SINGLE BLACK
394,17521,"SSI BUS CABLE, B-CODED M12, 5-PIN CABLE"
395,17522,SENSOR CONNECTION MODULE
396,17523,SENSOR-REFLECTIVEPNP10M
397,17524,"CONNECTOR, THREAD SIZE: M12, TYPE: FEMALE, NO. OF PINS: 8 -PIN, ENCODING: A-CODED, DESIGN: AXIAL, HANDLE BODY MATERIAL: METAL"
398,17525,WIRE
399,17526,ENCODER CABLE 1 MTR
400,17527,SHAFT EXTENSION PIECE
401,17532,INDUSTRIAL ETHERNET EC PATCHCORD M12/RJ45
402,17533,1.5 SQ MM PIN TYPE LUGS
403,17534,SMPS 24 V/40 A
404,17536,TREE PROFINET MANAGED SWITCH 5X10/100BT IP67 PLASTIC M12
405,17538,"CLASSIC FD 810 P 4G1,5"
406,17539,POWER AND CONTROL CABLE 4G0.5
407,17541,"EMERGENCY STOP ES-XW, BUILT-IN DEVICES, 22 MM"
408,17542,"SHORT TERMINAL SHIELD, COMPACT NSX, EASYPACT CVS, 4 POLES, PITCH 35 MM"
409,17544,"CONNECTOR LABEL, SNAP IN FOR 5.2MM WIDE TERMINAL BLOCKS"
410,17550,SMPS-480W24V20A
411,17552,5W BLACK DC COOLING FAN SF12038HSL 24V DC
412,17554,EARTHING CABLE 1X10.0 SQMM  YELLOW-GREEN
413,17555,EARTHING CABLE 1X6.0 SQMM  YELLOW-GREEN
414,17556,EARTHING CABLE 1X2.5 SQMM  YELLOW-GREEN
415,17559,"LAPP OLFLEX 100 I, 2.5 SQ.MM, 4 CORE COPPER FLEXIBLE CABLE, GREY, PVC FRLSH (FLAME RETARDANT LOW SMOKE HALOGEN)"
416,17560,CABLE 4G10 SQMM  COLORED
417,17566,SENSOR-DIFFUSIVEPNP350 MM
418,17567,SENSOR-REFLECTIVEPNP5M
419,17568,TERMINAL
420,17569,EMPTY ENCLOSURE BOX 2 PUSH BUTTON STATION
421,17570,ENCLOSURE-PUSHBUTTON 68.07 W X 68.07 H X 53.08 D MMWALL MOUNT
422,17571,CABLE-3G X 6MM2GREYCUFLEXIBLE
423,17573,"SUPAFLEX,FAN 8 INCH, 220X220X60, 110VAC"
424,17574,"LFLEX<REGISTERED> 100 I 4 G 0.50 GY POWER AND CONTROL CABLE 4G0.5 7.4 MM 1,1 KV PVC CORE IDENTIFICATION: COLOURS FLEXIBLE"
425,17575,INDUCTIVE SENSOR
426,17576,COMMUNICATION MODULE
427,17577,"8DI MODULE, 24VDC"
428,17578,ISOLATOR SWITCH
429,17581,MCB - 2 POLE - 32 AMP
430,17582,MCB - 3 POLE - 100 AMP
431,17583,CABLE SINGLE CORE 25 SQMM
432,17584,CONNECTOR-RJ45
433,17585,TERMINAL BLOCKS-SINGLE DECKER(SD) 4 SQMM PUSH
434,17586,RETROREFLECTIVE SENSOR
435,17588,LAMP
436,17589,SCHNEIDER ELECTRIC 230V GREEN ILLUMINATED SELECTOR SWITC
437,17593,POWER SUPPLY UNIT
438,17594,MCBXC60 3P 20A C 10000A
439,17595,"MCB 3P, 32A"
440,17596,"OMRON CABLE FOR USE WITH 1S SERIES - 3M LENGTH, 400 V, 7.5 KW"
441,17597,"SERVO DRIVE,5KW"
442,17598,TERMINAL 4 SQ. MM EARTHING TERMINAL (SINGLE DECKER)
443,17599,DIN RAIL TERMINAL BLOCKS
444,17600,CABLE
445,17604,ELDON MAS0403015R5 400HX300WX155D IP66 ENCLOSURE WITH BACKPLATE
446,17607,"RITTAL SK 3325107 FAN AND FILTER UNIT 230 V 50/60 HZ 0,28/0,24 A 41/38 W T122785"
447,17611,WIRE 1.0 SQMM BLACK 1X1.0 FR-LSH
448,17614,"PHOTOTO ELECTRIC SENSORS FOR ROLLER CONVOYER- COMPACT DESIGN - DC SUPPLY, SOLID-STATE OUTPUT"
449,17620,"HOLDER FOR CABLE MARKING W=11.3MM, L=33MM, BULK"
450,17621,CABLE
451,17623,"TERMINAL COVER 35 SQ MM STUD TYPE,D-RSC 6-E"
452,17626,LUGS
453,17627,PANEL AC - WALL MOUNT1.6KW230V AC
454,17628,END SEAL
455,17629,"3 SEC 3AC380-480V +10/-20% 47-63HZ UNFILTERED I/O-INTERFACE: 6DI, 2DO,1AI,1AO SAFE TORQUE OFF INTEGRATED FIELDBUS: PROFINET-PN PROTECTION: IP20/ UL OPEN TYPE SIZE: FSAA 173X73X178(HXWXD) EXTERNAL 24V"
456,17630,CABLE
457,17631,"MCB 2AMP, 2 POLE"
458,17632,PUSH BUTTON BLUE 1NO
459,17633,PNOZMULTI CHIP CARD 1 PIECE 32KB
460,17634,SAFETY CONTROLLER
461,17635,TERMINALS
462,17642,MODULAR SAFETY PLC SET
463,17648,INDICATION LAMP LED TYPE WHITE
464,17655,"CK INCL. SURFACE MOUNT HOUSING, SET CONSISTING OF E-STOP PUSHBUTTON WITH E-STOP SYMBOL AND WITH LOGO AND CONTACT BLOCK WITH MONITORING. 2 N/C, 1 SIGNAL CONTACT (1 N/O, 2 N/C), TERMINALS OF SCREW TYPE."
465,17658,"LAPP OLFLEX UNIPLUS FR 10 SQMM SINGLE CORE BLACK POWER & CONTROL CABLE, 4520015U, LENGTH: 100 M"
466,17659,CABLE-1CX 6MM2GREEN N YELLOWCUFLEXIBLE
467,17661,ETHERNET CABLE GREEB
468,17664,WIRE  2X0.5 MM
469,17666,LIMIT SWITCH-ROLLER TYPE
470,17668,REFLECTOR - 40X60 RECTANGULAR PLASTIC ADHESIVE
471,17670,DRIVER CARD FOR POPUP CONTROLLER
472,17672,REXNORD REC 12038 A24 MW 24 V DC BRUSHLESS FANS-PLASTIC BLADE GET LATEST PRICE
473,17674,8 PORT ETHERNET SWITCH EDS-20
474,17676,PRE FAB CABLE- 2MM12FREESTRAIGHTNON-SHIELDEDFEMALE
475,17677,PRE FAB CABLE-2000MMM8FREESTRAIGHTNON-SHIELDEDFEMALE
476,17678,SENSOR
477,17679,COMM MOD- OPTICALTRANSRECEIVERETHERNET IPPROFINET40M
478,17680,SENSOR- LASERPNP40M
479,17681,PANEL
480,17682,RJ45 MALE 0<DEG> / RJ45 MALE 0<DEG> SHIELDED
481,17683,M12 MALE 0<DEG> A-COD. SCREW TERMINAL
482,17684,M12 POWER MALE 0<DEG> L-COD. SCREW TERMINAL
483,17685,M12 FEMALE 0<DEG> L-CODED FIELD-WIREABLE
484,17686,M12 D-CODE MALE STRAIGHT 6..8MM
485,17687,AS-I SPLITTER BOX
486,17688,AS-INTERFACE FLAT CABLE VAZ-FK-S-BK CABLE PIERCING TECHNIQUE RESISTANT TO ENVIRONMENTAL INFLUENCE RESISTANT TO BENDING REVERSE POLARITY PROTECTED DUE TO THE SHAPE OF THE CABLE
