SUPPLIER_NAME,ITEM_NAME,CERTIFICATIONS
SUGI ELECTRONICS LLP,smart controller,"US, Canada, Europe"
Praja Controls & Systems Pvt Ltd,voltage regulator,"US, Canada, Europe"
SHREE SAI SOLUTIONS,hydraulic actuator,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,solenoid valve,"Europe, Asia"
Social Sea India Pvt Ltd,servo amplifier,"Australia, India"
Kinco ElectricShenzhenLtd.,inductive sensor,"Europe, Asia"
IGUS INDIA PRIVATE LIMITED,relay,"US, Canada, Europe"
Pepperl+Fuchs Factory Automation Pvt. Ltd,power supply,"Europe, Asia"
RITTAL PRIVATE LIMITED,stepper controller,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,industrial camera,"Australia, India"
"ITOH DENKI CO., LTD.",load cell,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,stepper motor,"Australia, India"
SUGI ELECTRONICS LLP,VFD drive,"US, Canada, Europe"
EVOKE GLOBAL,voltage regulator,"Australia, India"
RD ENERGY SOLUTIONS,frequency inverter,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,solenoid valve,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,gear motor,Global Certification
Technovision Enterprises,frequency inverter,"Europe, Asia"
COGNEX IRELAND LTD,proximity switch,Global Certification
Digi-Key Electronics.,transformer,Global Certification
IGUS INDIA PRIVATE LIMITED,PLC,"Australia, India"
SHREE SAI SOLUTIONS,stepper controller,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,pneumatic actuator,"Australia, India"
iTG Software Engineering (I) Pvt. Ltd,switch,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,thermal relay,Global Certification
Leuze Electronics Pvt. Ltd.,load cell,"US, Canada, Europe"
SECURITAS ENGINEERS,linear actuator,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,DC motor,Global Certification
KINCO SCIENTIFIC LIMITED,industrial camera,"Europe, Asia"
KUDAMM CORPORATION,robotics arm,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,control cable,Global Certification
Kinco ElectricShenzhenLtd.,pressure sensor,"Europe, Asia"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",industrial camera,"Australia, India"
CONDUCTIX-WAMPFLER INDIA PVT LTD,DC motor,"Europe, Asia"
RITTAL PRIVATE LIMITED,light sensor,Global Certification
Social Sea India Pvt Ltd,circuit breaker,"Australia, India"
iTG Software Engineering (I) Pvt. Ltd,proximity switch,"Europe, Asia"
NETWORK ELECTRONICS,current transformer,"US, Canada, Europe"
KINCO SCIENTIFIC LIMITED,voltage regulator,"Australia, India"
SHREE SAI SOLUTIONS,contact sensor,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,pneumatic actuator,"Australia, India"
MEERA ENTERPRISES,PLC,"Australia, India"
SHREE SAI SOLUTIONS,HMI panel,"Europe, Asia"
EVOKE GLOBAL,circuit breaker,Global Certification
SHREE SAI SOLUTIONS,temperature sensor,"Europe, Asia"
RD ENERGY SOLUTIONS,brushless motor,"US, Canada, Europe"
SD ELECTRICAL,switch,"Europe, Asia"
PHOENIX CONTACT INDIA PVT LTD,voltage regulator,Global Certification
Pepperl+Fuchs Factory Automation Pvt. Ltd,transformer,"Australia, India"
KINCO SCIENTIFIC LIMITED,stepper motor,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",power cable,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",stepper motor,Global Certification
Technovision Enterprises,smart controller,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,infrared camera,"Europe, Asia"
SICK INDIA Pvt. Ltd.,DC motor,Global Certification
SHREE SAI SOLUTIONS,stepper motor,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,HMI panel,"Europe, Asia"
PHOENIX CONTACT INDIA PVT LTD,safety light curtain,"Europe, Asia"
Diagnostic Automation & Controls Pvt. Ltd.,HMI panel,Global Certification
iTG Software Engineering (I) Pvt. Ltd,circuit breaker,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,IO module,"Australia, India"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,solenoid valve,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,servo amplifier,"US, Canada, Europe"
Pepperl+Fuchs Factory Automation Pvt. Ltd,safety light curtain,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,proximity switch,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,pressure sensor,"Europe, Asia"
RD ENERGY SOLUTIONS,servo motor,"US, Canada, Europe"
COGNEX IRELAND LTD,hydraulic actuator,"US, Canada, Europe"
RD ENERGY SOLUTIONS,temperature sensor,"Europe, Asia"
EVOKE GLOBAL,actuator,"US, Canada, Europe"
KINCO SCIENTIFIC LIMITED,proximity switch,Global Certification
SECURITAS ENGINEERS,pneumatic actuator,Global Certification
IGUS INDIA PRIVATE LIMITED,hydraulic actuator,"Australia, India"
SUGI ELECTRONICS LLP,safety light curtain,"Australia, India"
FESTO INDIA PRIVATE LIMITED,camera module,"US, Canada, Europe"
Pepperl+Fuchs Factory Automation Pvt. Ltd,machine vision camera,Global Certification
Digi-Key Electronics.,machine vision camera,Global Certification
Social Sea India Pvt Ltd,IO module,"Australia, India"
MKSK OFFICE SOLUTIONS LLP,solenoid valve,"Australia, India"
SD ELECTRICAL,power cable,Global Certification
"SHANGHAI QUISURE INFO-TECH CO.,LTD",load cell,Global Certification
RAJPRIYA INSTRUMENTS & CONTROLS,IO module,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,control cable,"Australia, India"
ASTronics Technology (I) Pvt Ltd,robotic gripper,"US, Canada, Europe"
KUDAMM CORPORATION,limit switch,Global Certification
RAJPRIYA INSTRUMENTS & CONTROLS,circuit breaker,"US, Canada, Europe"
iTG Software Engineering (I) Pvt. Ltd,brush motor,Global Certification
Onyx Equipments  (India) Pvt. Ltd.,actuator,"Australia, India"
RD ENERGY SOLUTIONS,PLC,"Europe, Asia"
SD ELECTRICAL,HMI panel,"Europe, Asia"
KINCO SCIENTIFIC LIMITED,servo motor,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,inductive sensor,"Europe, Asia"
IGUS INDIA PRIVATE LIMITED,camera module,"US, Canada, Europe"
Digi-Key Electronics.,thermal relay,"Europe, Asia"
CONDUCTIX-WAMPFLER INDIA PVT LTD,brushless motor,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,actuator,"US, Canada, Europe"
SUGI ELECTRONICS LLP,pneumatic actuator,"US, Canada, Europe"
COGNEX IRELAND LTD,HMI panel,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,smart controller,"Australia, India"
SM Electronic Technologies Pvt. Ltd,relay,"Europe, Asia"
Diagnostic Automation & Controls Pvt. Ltd.,hydraulic actuator,"US, Canada, Europe"
RITTAL INDIA PRIVATE LIMITED,robotic gripper,"Europe, Asia"
SHREE SAI SOLUTIONS,solenoid valve,"Australia, India"
Onyx Equipments  (India) Pvt. Ltd.,VFD drive,"US, Canada, Europe"
Social Sea India Pvt Ltd,contact sensor,"US, Canada, Europe"
Technovision Enterprises,switch,Global Certification
RD ENERGY SOLUTIONS,relay,"Australia, India"
Pepperl+Fuchs Factory Automation Pvt. Ltd,smart controller,Global Certification
SEW EURODRIVE INDIA P LTD,circuit breaker,"Australia, India"
SUGI ELECTRONICS LLP,infrared camera,Global Certification
EVOKE GLOBAL,safety light curtain,Global Certification
SM Electronic Technologies Pvt. Ltd,data logger,"Europe, Asia"
Pepperl+Fuchs Factory Automation Pvt. Ltd,stepper motor,Global Certification
RD ENERGY SOLUTIONS,DC motor,Global Certification
"ITOH DENKI CO., LTD.",actuator,"Australia, India"
SHREE SAI SOLUTIONS,IO module,"US, Canada, Europe"
FINE TECH CONTROLS PRIVATE LIMITED,frequency inverter,Global Certification
Leuze Electronics Pvt. Ltd.,industrial camera,"Australia, India"
Praja Controls & Systems Pvt Ltd,pneumatic actuator,"Europe, Asia"
Social Sea India Pvt Ltd,power supply,"Australia, India"
SHREE SAI SOLUTIONS,industrial camera,Global Certification
RAJPRIYA INSTRUMENTS & CONTROLS,hydraulic actuator,Global Certification
EVOKE GLOBAL,power supply,Global Certification
FESTO INDIA PRIVATE LIMITED,limit switch,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,load cell,Global Certification
NETWORK ELECTRONICS,control cable,Global Certification
RD ENERGY SOLUTIONS,gear motor,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",robotic gripper,"Australia, India"
SM Electronic Technologies Pvt. Ltd,frequency inverter,"Australia, India"
MKSK OFFICE SOLUTIONS LLP,hydraulic actuator,"Australia, India"
ASTronics Technology (I) Pvt Ltd,capacitive sensor,"US, Canada, Europe"
BHL POWER SYSTEM PVT LTD,current transformer,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,pneumatic actuator,Global Certification
SUGI ELECTRONICS LLP,robotic gripper,"Australia, India"
MEERA ENTERPRISES,robotic gripper,"Europe, Asia"
SHREE SAI SOLUTIONS,inductive sensor,"Australia, India"
ASTronics Technology (I) Pvt Ltd,solenoid valve,"Australia, India"
SEW EURODRIVE INDIA P LTD,solenoid valve,"US, Canada, Europe"
SHREE SAI SOLUTIONS,camera module,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,thermal relay,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,circuit breaker,"US, Canada, Europe"
RD ENERGY SOLUTIONS,control cable,"Australia, India"
Onyx Equipments  (India) Pvt. Ltd.,contact sensor,"US, Canada, Europe"
EVOKE GLOBAL,HMI panel,Global Certification
MKSK OFFICE SOLUTIONS LLP,thermal relay,"Europe, Asia"
MEERA ENTERPRISES,DC motor,"US, Canada, Europe"
FINE TECH CONTROLS PRIVATE LIMITED,actuator,"Australia, India"
RITTAL INDIA PRIVATE LIMITED,capacitive sensor,"Europe, Asia"
COGNEX IRELAND LTD,solenoid valve,Global Certification
SEW EURODRIVE INDIA P LTD,light sensor,Global Certification
SECURITAS ENGINEERS,PLC,"US, Canada, Europe"
Pepperl+Fuchs Factory Automation Pvt. Ltd,load cell,"Australia, India"
MEERA ENTERPRISES,control cable,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,brushless motor,"Europe, Asia"
SHREE SAI SOLUTIONS,encoder,"Australia, India"
IGUS INDIA PRIVATE LIMITED,switch,"Australia, India"
BHL POWER SYSTEM PVT LTD,limit switch,"Australia, India"
SEW EURODRIVE INDIA P LTD,HMI panel,"US, Canada, Europe"
RD ENERGY SOLUTIONS,smart controller,"Europe, Asia"
MEERA ENTERPRISES,pressure sensor,Global Certification
COGNEX IRELAND LTD,voltage regulator,Global Certification
Leuze Electronics Pvt. Ltd.,gear motor,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,brushless motor,Global Certification
IGUS INDIA PRIVATE LIMITED,robotics arm,"Europe, Asia"
SICK INDIA Pvt. Ltd.,proximity switch,"Europe, Asia"
KUDAMM CORPORATION,temperature controller,"Australia, India"
SECURITAS ENGINEERS,proximity switch,"Europe, Asia"
CONDUCTIX-WAMPFLER INDIA PVT LTD,circuit breaker,Global Certification
SICK INDIA Pvt. Ltd.,industrial camera,Global Certification
SEW EURODRIVE INDIA P LTD,encoder,Global Certification
COGNEX IRELAND LTD,switch,Global Certification
KINCO SCIENTIFIC LIMITED,AC motor,Global Certification
FESTO INDIA PRIVATE LIMITED,machine vision camera,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,load cell,Global Certification
Leuze Electronics Pvt. Ltd.,PLC,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,AC motor,"US, Canada, Europe"
CONDUCTIX-WAMPFLER INDIA PVT LTD,solenoid valve,Global Certification
ASTronics Technology (I) Pvt Ltd,data logger,Global Certification
Digi-Key Electronics.,smart controller,"Australia, India"
MEERA ENTERPRISES,transformer,"Europe, Asia"
Digi-Key Electronics.,solenoid valve,"US, Canada, Europe"
KUDAMM CORPORATION,power supply,"Europe, Asia"
Kinco ElectricShenzhenLtd.,temperature controller,"Europe, Asia"
FESTO INDIA PRIVATE LIMITED,servo motor,"Australia, India"
ASTronics Technology (I) Pvt Ltd,temperature controller,"Europe, Asia"
CONDUCTIX-WAMPFLER INDIA PVT LTD,light sensor,Global Certification
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,current transformer,Global Certification
FESTO INDIA PRIVATE LIMITED,DC motor,"Europe, Asia"
Onyx Equipments  (India) Pvt. Ltd.,machine vision camera,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,servo motor,"Australia, India"
COGNEX IRELAND LTD,brush motor,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,camera module,"Europe, Asia"
FINE TECH CONTROLS PRIVATE LIMITED,power supply,"Australia, India"
KINCO SCIENTIFIC LIMITED,switch,Global Certification
CONDUCTIX-WAMPFLER INDIA PVT LTD,PLC,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,hydraulic actuator,"US, Canada, Europe"
Digi-Key Electronics.,data logger,Global Certification
TAC Automation Pvt.Ltd- UP,load cell,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,proximity switch,Global Certification
MEERA ENTERPRISES,light sensor,Global Certification
SHREE SAI SOLUTIONS,light sensor,"US, Canada, Europe"
EVOKE GLOBAL,thermal relay,"Europe, Asia"
ASTronics Technology (I) Pvt Ltd,safety light curtain,Global Certification
EVOKE GLOBAL,IO module,"US, Canada, Europe"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",switch,Global Certification
COGNEX IRELAND LTD,industrial camera,"Australia, India"
BHL POWER SYSTEM PVT LTD,temperature controller,"US, Canada, Europe"
Praja Controls & Systems Pvt Ltd,current transformer,"Australia, India"
IGUS INDIA PRIVATE LIMITED,power supply,"US, Canada, Europe"
iTG Software Engineering (I) Pvt. Ltd,servo amplifier,Global Certification
RAJPRIYA INSTRUMENTS & CONTROLS,frequency inverter,"US, Canada, Europe"
iTG Software Engineering (I) Pvt. Ltd,actuator,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,encoder,Global Certification
IGUS INDIA PRIVATE LIMITED,power cable,"Europe, Asia"
Praja Controls & Systems Pvt Ltd,robotic gripper,"Europe, Asia"
Diagnostic Automation & Controls Pvt. Ltd.,gear motor,"Europe, Asia"
KINCO SCIENTIFIC LIMITED,power supply,"Europe, Asia"
Digi-Key Electronics.,proximity switch,"US, Canada, Europe"
iTG Software Engineering (I) Pvt. Ltd,thermal relay,"Australia, India"
CONDUCTIX-WAMPFLER INDIA PVT LTD,linear actuator,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,actuator,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,camera module,"Australia, India"
Praja Controls & Systems Pvt Ltd,robotics arm,"Europe, Asia"
Pepperl+Fuchs Factory Automation Pvt. Ltd,control cable,"Australia, India"
MKSK OFFICE SOLUTIONS LLP,power supply,"Europe, Asia"
NETWORK ELECTRONICS,VFD drive,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,robotic gripper,"Australia, India"
SECURITAS ENGINEERS,industrial camera,"Europe, Asia"
EVOKE GLOBAL,limit switch,"US, Canada, Europe"
ASTronics Technology (I) Pvt Ltd,brushless motor,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,switch,"Australia, India"
BHL POWER SYSTEM PVT LTD,temperature sensor,Global Certification
iTG Software Engineering (I) Pvt. Ltd,IO module,"Europe, Asia"
SECURITAS ENGINEERS,stepper controller,Global Certification
Leuze Electronics Pvt. Ltd.,hydraulic actuator,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,servo motor,Global Certification
SHREE SAI SOLUTIONS,load cell,Global Certification
SEW EURODRIVE INDIA P LTD,transformer,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,machine vision camera,"Australia, India"
Digi-Key Electronics.,frequency inverter,"Europe, Asia"
FESTO INDIA PRIVATE LIMITED,PLC,"US, Canada, Europe"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,PLC,"Europe, Asia"
SUGI ELECTRONICS LLP,stepper motor,"Australia, India"
ASTronics Technology (I) Pvt Ltd,inductive sensor,"Australia, India"
Diagnostic Automation & Controls Pvt. Ltd.,brush motor,Global Certification
MEERA ENTERPRISES,infrared camera,"US, Canada, Europe"
Social Sea India Pvt Ltd,camera module,Global Certification
"SHANGHAI QUISURE INFO-TECH CO.,LTD",infrared camera,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,power cable,Global Certification
TAC Automation Pvt.Ltd- UP,IO module,"US, Canada, Europe"
RD ENERGY SOLUTIONS,VFD drive,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,transformer,Global Certification
Leuze Electronics Pvt. Ltd.,servo amplifier,"US, Canada, Europe"
MKSK OFFICE SOLUTIONS LLP,proximity switch,"US, Canada, Europe"
PHOENIX CONTACT INDIA PVT LTD,limit switch,Global Certification
MKSK OFFICE SOLUTIONS LLP,power cable,"Australia, India"
BHL POWER SYSTEM PVT LTD,transformer,"Europe, Asia"
Social Sea India Pvt Ltd,actuator,Global Certification
Technovision Enterprises,machine vision camera,"US, Canada, Europe"
RAJPRIYA INSTRUMENTS & CONTROLS,current transformer,"Europe, Asia"
SEW EURODRIVE INDIA P LTD,servo amplifier,Global Certification
RITTAL PRIVATE LIMITED,temperature sensor,"Europe, Asia"
Social Sea India Pvt Ltd,robotics arm,"Europe, Asia"
COGNEX IRELAND LTD,stepper motor,Global Certification
PHOENIX CONTACT INDIA PVT LTD,industrial camera,"US, Canada, Europe"
BHL POWER SYSTEM PVT LTD,robotics arm,"Europe, Asia"
EVOKE GLOBAL,current transformer,Global Certification
RITTAL INDIA PRIVATE LIMITED,power supply,"US, Canada, Europe"
SD ELECTRICAL,voltage regulator,"Australia, India"
FESTO INDIA PRIVATE LIMITED,power supply,"US, Canada, Europe"
Social Sea India Pvt Ltd,machine vision camera,"US, Canada, Europe"
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,proximity switch,Global Certification
ASTronics Technology (I) Pvt Ltd,linear actuator,Global Certification
Leuze Electronics Pvt. Ltd.,stepper motor,"US, Canada, Europe"
KUDAMM CORPORATION,proximity switch,"US, Canada, Europe"
Pepperl+Fuchs Factory Automation Pvt. Ltd,DC motor,"Australia, India"
Onyx Equipments  (India) Pvt. Ltd.,relay,Global Certification
SM Electronic Technologies Pvt. Ltd,gear motor,"Australia, India"
"ITOH DENKI CO., LTD.",PLC,Global Certification
KINCO SCIENTIFIC LIMITED,pneumatic actuator,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,PLC,"Europe, Asia"
SECURITAS ENGINEERS,light sensor,"Europe, Asia"
RAJPRIYA INSTRUMENTS & CONTROLS,temperature sensor,Global Certification
Praja Controls & Systems Pvt Ltd,IO module,Global Certification
RITTAL INDIA PRIVATE LIMITED,safety light curtain,Global Certification
PHOENIX CONTACT INDIA PVT LTD,DC motor,Global Certification
FINE TECH CONTROLS PRIVATE LIMITED,stepper motor,"US, Canada, Europe"
KUDAMM CORPORATION,robotic gripper,Global Certification
Technovision Enterprises,hydraulic actuator,"Europe, Asia"
MEERA ENTERPRISES,circuit breaker,Global Certification
PHOENIX CONTACT INDIA PVT LTD,capacitive sensor,"US, Canada, Europe"
FINE TECH CONTROLS PRIVATE LIMITED,robotic gripper,Global Certification
Pepperl+Fuchs Factory Automation Pvt. Ltd,proximity switch,"Australia, India"
RAJPRIYA INSTRUMENTS & CONTROLS,camera module,"Australia, India"
EVOKE GLOBAL,temperature sensor,Global Certification
SICK INDIA Pvt. Ltd.,power supply,"US, Canada, Europe"
SECURITAS ENGINEERS,brushless motor,"US, Canada, Europe"
SUGI ELECTRONICS LLP,pressure sensor,Global Certification
MKSK OFFICE SOLUTIONS LLP,stepper controller,Global Certification
SHREE SAI SOLUTIONS,temperature controller,Global Certification
COGNEX IRELAND LTD,contact sensor,"Europe, Asia"
SM Electronic Technologies Pvt. Ltd,AC motor,"Australia, India"
Social Sea India Pvt Ltd,thermal relay,"US, Canada, Europe"
RITTAL PRIVATE LIMITED,thermal relay,"Australia, India"
SUGI ELECTRONICS LLP,encoder,"US, Canada, Europe"
Digi-Key Electronics.,load cell,"Europe, Asia"
EVOKE GLOBAL,light sensor,Global Certification
ASTronics Technology (I) Pvt Ltd,circuit breaker,Global Certification
SICK INDIA Pvt. Ltd.,gear motor,"US, Canada, Europe"
KINCO SCIENTIFIC LIMITED,PLC,Global Certification
RITTAL PRIVATE LIMITED,stepper motor,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,power cable,"US, Canada, Europe"
SD ELECTRICAL,temperature controller,"Europe, Asia"
SUGI ELECTRONICS LLP,brush motor,Global Certification
IGUS INDIA PRIVATE LIMITED,brush motor,"Australia, India"
SICK INDIA Pvt. Ltd.,hydraulic actuator,"US, Canada, Europe"
SICK INDIA Pvt. Ltd.,solenoid valve,Global Certification
SD ELECTRICAL,stepper motor,"Australia, India"
RITTAL PRIVATE LIMITED,brushless motor,"Europe, Asia"
iTG Software Engineering (I) Pvt. Ltd,power supply,"US, Canada, Europe"
IGUS INDIA PRIVATE LIMITED,DC motor,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,power cable,"Europe, Asia"
SUGI ELECTRONICS LLP,HMI panel,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,power supply,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,actuator,"Europe, Asia"
FESTO INDIA PRIVATE LIMITED,safety light curtain,Global Certification
SEW EURODRIVE INDIA P LTD,voltage regulator,"Australia, India"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",brushless motor,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,control cable,Global Certification
KUDAMM CORPORATION,pressure sensor,"Australia, India"
Technovision Enterprises,camera module,"US, Canada, Europe"
SD ELECTRICAL,control cable,"US, Canada, Europe"
"SHANGHAI QUISURE INFO-TECH CO.,LTD",contact sensor,Global Certification
RAJPRIYA INSTRUMENTS & CONTROLS,linear actuator,Global Certification
COGNEX IRELAND LTD,infrared camera,"Europe, Asia"
PHOENIX CONTACT INDIA PVT LTD,data logger,"US, Canada, Europe"
"ITOH DENKI CO., LTD.",brush motor,Global Certification
iTG Software Engineering (I) Pvt. Ltd,machine vision camera,Global Certification
Diagnostic Automation & Controls Pvt. Ltd.,data logger,"Australia, India"
NETWORK ELECTRONICS,voltage regulator,"Europe, Asia"
RAJPRIYA INSTRUMENTS & CONTROLS,voltage regulator,Global Certification
SICK INDIA Pvt. Ltd.,power cable,"US, Canada, Europe"
Leuze Electronics Pvt. Ltd.,contact sensor,"US, Canada, Europe"
SD ELECTRICAL,temperature sensor,"Europe, Asia"
RITTAL INDIA PRIVATE LIMITED,current transformer,"Australia, India"
IGUS INDIA PRIVATE LIMITED,encoder,Global Certification
RITTAL PRIVATE LIMITED,AC motor,"US, Canada, Europe"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,robotics arm,Global Certification
ELECTRICAL CONTROL SYSTEMS PVT. LTD.,hydraulic actuator,"Australia, India"
RITTAL PRIVATE LIMITED,machine vision camera,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,machine vision camera,"US, Canada, Europe"
Kinco ElectricShenzhenLtd.,AC motor,Global Certification
Technovision Enterprises,circuit breaker,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,camera module,"Europe, Asia"
COGNEX IRELAND LTD,robotic gripper,"Australia, India"
RITTAL PRIVATE LIMITED,power supply,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,current transformer,"Australia, India"
Onyx Equipments  (India) Pvt. Ltd.,encoder,"Europe, Asia"
Kinco ElectricShenzhenLtd.,switch,Global Certification
Leuze Electronics Pvt. Ltd.,inductive sensor,"US, Canada, Europe"
TAC Automation Pvt.Ltd- UP,linear actuator,"Australia, India"
SECURITAS ENGINEERS,inductive sensor,"Europe, Asia"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,DC motor,Global Certification
MKSK OFFICE SOLUTIONS LLP,brushless motor,Global Certification
COGNEX IRELAND LTD,servo motor,Global Certification
SICK INDIA Pvt. Ltd.,brush motor,Global Certification
RITTAL PRIVATE LIMITED,gear motor,"US, Canada, Europe"
SEW EURODRIVE INDIA P LTD,pneumatic actuator,Global Certification
KINCO SCIENTIFIC LIMITED,brushless motor,"Europe, Asia"
SHREE SAI SOLUTIONS,current transformer,"US, Canada, Europe"
SM Electronic Technologies Pvt. Ltd,robotics arm,"Europe, Asia"
RAJPRIYA INSTRUMENTS & CONTROLS,actuator,"Australia, India"
SM Electronic Technologies Pvt. Ltd,camera module,"Europe, Asia"
RAJPRIYA INSTRUMENTS & CONTROLS,proximity switch,"US, Canada, Europe"
Onyx Equipments  (India) Pvt. Ltd.,DC motor,"US, Canada, Europe"
Praja Controls & Systems Pvt Ltd,proximity switch,"US, Canada, Europe"
RD ENERGY SOLUTIONS,encoder,"Europe, Asia"
BHL POWER SYSTEM PVT LTD,brush motor,"Australia, India"
UNITED CONTROL ENGINEERS INDIA PRIVATE LIMITED,stepper motor,"Europe, Asia"
MKSK OFFICE SOLUTIONS LLP,robotics arm,"Europe, Asia"
