,SUPPLIER_CODE,ITEM_CODE,PART_DESCRIPTION,ITEM_NAME,SUPPLIER_NAME,PRICE_mean,PRICE_min,PRICE_max,DAYS_TAKEN_TO_DELIVER_mean,DAYS_TAKEN_TO_DELIVER_min,DAYS_TAKEN_TO_DELIVER_max,FAULTED_PARTS_RATE_mean,FAULTED_PARTS_RATE_min,FAULTED_PARTS_RATE_max,CERTIFICATIONS
10,VD101149,KUD8242,Inductive proximity sensor,Proximity Sensor,KUDAMM CORPORATION,3336.9722388059704,2722.6,4030.07,53.38805970149254,3,100,0.03140679854743157,0.0,1.0,"['US', 'Europe', 'Asia', 'Australia', 'Canada']"
11,VD101149,KUD8645,High-precision pressure sensor,Pressure Sensor,KUDAMM CORPORATION,2331.612156862745,1888.9,2822.99,51.27450980392157,4,100,0.01166105552630317,0.0,0.0975609756097561,"['US', 'India', 'Canada', 'Europe', 'Asia']"
12,VD101149,KUD8979,Variable Frequency Drive for motor control,VFD Drive,KUDAMM CORPORATION,4009.6145901639343,3270.69,4820.01,50.21311475409836,4,97,0.05621989195673591,0.0,1.0,"['India', 'US', 'Europe']"
13,VD101149,KUD9033,Compact 3D printer for prototyping,3D Printer,KUDAMM CORPORATION,4824.046744186046,3913.21,5683.72,61.97674418604651,10,100,0.06456133926628504,0.0,1.0,"['India', 'Asia', 'Europe', 'Canada', 'Australia']"
14,VD101149,KUD9762,Precision stepper motor with feedback,Stepper Motor,KUDAMM CORPORATION,2377.381639344262,1908.44,2789.03,51.68852459016394,4,100,0.04546388924018695,0.0,1.0,"['India', 'Australia']"
15,VD122239,KIN2113,Industrial control cabinet with locks,Control Cabinet,KINCO SCIENTIFIC LIMITED,4783.00350877193,3855.73,5642.47,50.85964912280702,5,100,0.01411126064002544,0.0,0.0963855421686747,"['India', 'Canada']"
16,VD122239,KIN2143,6-axis robotic arm,Robotic Arm,KINCO SCIENTIFIC LIMITED,1475.6015625,1198.8,1776.58,48.5625,3,98,0.03394114973869575,0.0,1.0,"['India', 'Canada', 'Australia']"
17,VD122239,KIN4191,SPDT relay switch for automation,10A Relay Switch,KINCO SCIENTIFIC LIMITED,2413.942558139535,2000.55,2948.21,46.86046511627907,5,97,0.06577766657904427,0.0,1.0,"['Asia', 'Europe']"
18,VD122239,KIN4528,High-speed servo motor driver,Servo Motor Driver,KINCO SCIENTIFIC LIMITED,1752.5202083333334,1402.19,2054.18,51.708333333333336,7,100,0.07356093152236866,0.0,1.0,"['US', 'Asia', 'India', 'Europe', 'Australia', 'Canada']"
19,VD122239,KIN4586,Compact DC motor with high torque,12V DC Motor,KINCO SCIENTIFIC LIMITED,2980.9824489795915,2469.46,3590.44,56.83673469387755,6,100,0.03131369904931629,0.0,1.0,['Europe']
20,VD122239,KIN5528,Modular PLC for automation,PLC Controller,KINCO SCIENTIFIC LIMITED,391.9459183673469,324.63,478.69,51.816326530612244,5,99,0.037895257700200566,0.0,1.0,['Australia']
21,VD122239,KIN5550,Pneumatic gripper for robotic arms,Gripper,KINCO SCIENTIFIC LIMITED,3808.9567441860468,3032.01,4492.37,53.95348837209303,11,96,0.03970905386479595,0.0,1.0,"['Canada', 'India', 'US', 'Asia', 'Australia', 'Europe']"
22,VD122239,KIN7114,24V DC power supply,Power Supply,KINCO SCIENTIFIC LIMITED,505.8116216216216,414.66,609.18,49.648648648648646,4,99,0.039508049175142265,0.0,1.0,"['US', 'India', 'Europe']"
23,VD122239,KIN7981,High-precision 10K resistor,Resistor,KINCO SCIENTIFIC LIMITED,3361.529736842105,2742.15,4069.78,54.23684210526316,8,100,0.04113619593125608,0.0,1.0,"['Asia', 'Europe', 'Canada', 'US']"
24,VD122239,KIN8029,Compact 3D printer for prototyping,3D Printer,KINCO SCIENTIFIC LIMITED,2444.9002857142855,2007.96,2954.42,57.25714285714286,4,98,0.04337204693614556,0.0,1.0,"['Canada', 'Australia', 'Europe']"
25,VD122239,KIN8142,RTD temperature sensor,Temperature Sensor,KINCO SCIENTIFIC LIMITED,3117.3450000000003,2501.88,3655.61,57.892857142857146,3,100,0.01838802372973029,0.0,0.09829059829059829,"['US', 'Europe', 'India', 'Asia']"
26,VD122239,KIN8298,Variable Frequency Drive for motor control,VFD Drive,KINCO SCIENTIFIC LIMITED,1883.704693877551,1557.7,2310.87,46.775510204081634,3,100,0.08116375517935466,0.0,1.0,['Europe']
27,VD122239,KIN8886,Precision stepper motor with feedback,Stepper Motor,KINCO SCIENTIFIC LIMITED,4894.612037037037,3919.14,5823.1,57.03703703703704,8,99,0.010563281435828699,0.0,0.1,"['Asia', 'US', 'Europe', 'Australia']"
28,VD122239,KIN8988,High-precision pressure sensor,Pressure Sensor,KINCO SCIENTIFIC LIMITED,2448.0206451612903,1976.79,2950.83,49.306451612903224,4,98,0.034576921116819176,0.0,1.0,"['Australia', 'India', 'Canada', 'Europe', 'US']"
29,VD122239,KIN9140,Inductive proximity sensor,Proximity Sensor,KINCO SCIENTIFIC LIMITED,2091.879180327869,1683.62,2489.07,52.08196721311475,3,99,0.03591581470308967,0.0,1.0,"['Asia', 'Europe', 'US', 'India', 'Australia', 'Canada']"
30,VD124316,ONY1272,SPDT relay switch for automation,10A Relay Switch,Onyx Equipments  (India) Pvt. Ltd.,926.8991666666667,732.69,1094.73,54.291666666666664,6,100,0.05775630995355038,0.0,1.0,"['Europe', 'Asia']"
31,VD124316,ONY2582,Modular PLC for automation,PLC Controller,Onyx Equipments  (India) Pvt. Ltd.,3069.858909090909,2488.77,3713.35,51.27272727272727,3,100,0.03968644571725239,0.0,1.0,"['Canada', 'India', 'Asia']"
32,VD124316,ONY2892,High-precision pressure sensor,Pressure Sensor,Onyx Equipments  (India) Pvt. Ltd.,732.368028169014,598.21,878.83,54.394366197183096,3,97,0.022731486697853166,0.0,1.0,"['Europe', 'US']"
33,VD124316,ONY3435,24V DC power supply,Power Supply,Onyx Equipments  (India) Pvt. Ltd.,1568.6429166666667,1300.1,1850.61,53.3125,3,100,0.01349460648074427,0.0,0.09782608695652174,"['Asia', 'US', 'Europe']"
34,VD124316,ONY4978,Precision stepper motor with feedback,Stepper Motor,Onyx Equipments  (India) Pvt. Ltd.,4191.072765957447,3313.18,4937.55,40.91489361702128,4,99,0.055323814368704795,0.0,1.0,"['US', 'India']"
35,VD124316,ONY5287,Variable Frequency Drive for motor control,VFD Drive,Onyx Equipments  (India) Pvt. Ltd.,3427.162962962963,2743.57,4016.19,47.72222222222222,3,100,0.02729295823961757,0.0,1.0,"['Asia', 'Australia', 'Europe', 'India']"
36,VD124316,ONY5823,High-precision 10K resistor,Resistor,Onyx Equipments  (India) Pvt. Ltd.,2907.653181818182,2343.37,3482.86,48.79545454545455,3,99,0.06030331283125327,0.0,1.0,"['Asia', 'Australia', 'India', 'Europe', 'Canada']"
37,VD124316,ONY7059,Pneumatic gripper for robotic arms,Gripper,Onyx Equipments  (India) Pvt. Ltd.,3090.9795744680855,2513.23,3695.81,49.91489361702128,6,99,0.03538909566745799,0.0,1.0,"['Canada', 'Asia', 'India', 'Australia']"
38,VD124316,ONY7380,Compact 3D printer for prototyping,3D Printer,Onyx Equipments  (India) Pvt. Ltd.,3832.3511904761904,3115.66,4629.74,51.57142857142857,3,98,0.021331569486099947,0.0,0.09859154929577464,"['US', 'Canada', 'Australia', 'India']"
39,VD124316,ONY7540,RTD temperature sensor,Temperature Sensor,Onyx Equipments  (India) Pvt. Ltd.,4755.494516129032,3735.31,5596.0,52.016129032258064,3,98,0.061469045953599505,0.0,1.0,"['Australia', 'Canada', 'Europe', 'Asia', 'US', 'India']"
40,VD124316,ONY8870,High-speed servo motor driver,Servo Motor Driver,Onyx Equipments  (India) Pvt. Ltd.,1732.695,1429.9,2107.41,40.61290322580645,3,100,0.02870210268734519,0.0,1.0,['Global Certification']
41,VD124316,ONY9235,6-axis robotic arm,Robotic Arm,Onyx Equipments  (India) Pvt. Ltd.,2417.352105263158,1966.68,2768.18,43.55263157894737,4,96,0.014689064035276445,0.0,0.09523809523809523,"['India', 'Canada', 'Europe', 'US', 'Asia', 'Australia']"
42,VD124316,ONY9411,Compact DC motor with high torque,12V DC Motor,Onyx Equipments  (India) Pvt. Ltd.,2016.5683333333334,1608.57,2405.56,51.68518518518518,5,99,0.01895985110477006,0.0,0.1,['US']
43,VD124316,ONY9477,Inductive proximity sensor,Proximity Sensor,Onyx Equipments  (India) Pvt. Ltd.,1432.4431147540984,1171.33,1724.94,52.9344262295082,4,100,0.04890628479320352,0.0,1.0,"['US', 'Europe']"
44,VD124316,ONY9783,Industrial control cabinet with locks,Control Cabinet,Onyx Equipments  (India) Pvt. Ltd.,3423.7332,2798.02,4128.32,47.76,4,97,0.05764057996608673,0.0,1.0,"['Europe', 'Australia', 'US', 'India']"
45,VD148207,FIN1442,Precision stepper motor with feedback,Stepper Motor,FINE TECH CONTROLS PRIVATE LIMITED,4467.440666666666,3568.99,5291.19,51.45,5,100,0.05425164313029031,0.0,1.0,"['India', 'Australia', 'Europe']"
46,VD148207,FIN1628,Modular PLC for automation,PLC Controller,FINE TECH CONTROLS PRIVATE LIMITED,303.80727272727273,239.56,357.93,51.63636363636363,6,98,0.0657436961543911,0.0,1.0,"['Canada', 'Australia']"
47,VD148207,FIN1920,6-axis robotic arm,Robotic Arm,FINE TECH CONTROLS PRIVATE LIMITED,3407.6002500000004,2797.72,4157.07,51.1,5,100,0.020354187339268436,0.0,0.09956709956709957,"['Europe', 'Asia', 'Australia', 'US', 'Canada', 'India']"
48,VD148207,FIN2290,High-precision 10K resistor,Resistor,FINE TECH CONTROLS PRIVATE LIMITED,4619.842571428571,3716.49,5545.41,52.714285714285715,8,100,0.01785437856832989,0.0,0.09876543209876543,['Australia']
49,VD148207,FIN5141,Industrial control cabinet with locks,Control Cabinet,FINE TECH CONTROLS PRIVATE LIMITED,3792.330483870968,3077.3,4475.39,51.564516129032256,3,96,0.03186988439928661,0.0,1.0,['Australia']
50,VD148207,FIN5762,Compact 3D printer for prototyping,3D Printer,FINE TECH CONTROLS PRIVATE LIMITED,2135.6502564102566,1721.38,2570.89,45.12820512820513,4,96,0.011560827107026769,0.0,0.09926470588235294,"['Asia', 'Australia', 'Europe', 'India', 'US', 'Canada']"
51,VD148207,FIN6024,Inductive proximity sensor,Proximity Sensor,FINE TECH CONTROLS PRIVATE LIMITED,1623.8950847457627,1290.16,1931.54,56.03389830508475,5,99,0.014765274404214533,0.0,0.09961685823754789,"['Europe', 'Canada', 'Asia', 'Australia', 'US', 'India']"
52,VD148207,FIN7192,High-speed servo motor driver,Servo Motor Driver,FINE TECH CONTROLS PRIVATE LIMITED,3540.6294545454543,2848.24,4225.52,52.72727272727273,6,100,0.05313601787166535,0.0,1.0,"['India', 'Europe', 'Canada', 'Asia']"
53,VD148207,FIN7374,High-precision pressure sensor,Pressure Sensor,FINE TECH CONTROLS PRIVATE LIMITED,4821.96,3919.83,5797.89,50.15873015873016,3,99,0.04795918847586128,0.0,1.0,['Asia']
54,VD148207,FIN8485,RTD temperature sensor,Temperature Sensor,FINE TECH CONTROLS PRIVATE LIMITED,3972.097142857143,3179.81,4722.09,54.98412698412698,6,100,0.03087882423626149,0.0,1.0,"['Canada', 'Australia', 'Asia', 'India', 'Europe']"
55,VD148207,FIN8609,Pneumatic gripper for robotic arms,Gripper,FINE TECH CONTROLS PRIVATE LIMITED,1310.7450000000001,1070.16,1578.69,55.1875,9,100,0.037667759552562206,0.0,1.0,"['Canada', 'India', 'Australia', 'Europe', 'US', 'Asia']"
56,VD148207,FIN8980,SPDT relay switch for automation,10A Relay Switch,FINE TECH CONTROLS PRIVATE LIMITED,3788.775882352941,3019.42,4473.45,41.8235294117647,3,90,0.013503453409344302,0.0,0.09947643979057591,"['India', 'Asia', 'Canada', 'US']"
57,VD148207,FIN9233,Variable Frequency Drive for motor control,VFD Drive,FINE TECH CONTROLS PRIVATE LIMITED,4519.3345,3618.23,5340.98,49.88333333333333,3,94,0.031301523647740366,0.0,1.0,"['Australia', 'India', 'Asia', 'Canada', 'Europe']"
58,VD148207,FIN9576,24V DC power supply,Power Supply,FINE TECH CONTROLS PRIVATE LIMITED,3814.494827586207,3096.66,4613.72,50.37931034482759,13,94,0.011095910536060107,0.0,0.09243697478991597,"['Australia', 'US', 'Asia']"
59,VD148207,FIN9747,Compact DC motor with high torque,12V DC Motor,FINE TECH CONTROLS PRIVATE LIMITED,3937.956875,3208.92,4791.49,56.75,5,100,0.05036739010006525,0.0,1.0,"['India', 'US', 'Canada', 'Australia', 'Europe', 'Asia']"
60,VD151132,SUG1044,Inductive proximity sensor,Proximity Sensor,SUGI ELECTRONICS LLP,417.706862745098,340.15,501.31,50.64705882352941,4,96,0.06054398782594789,0.0,1.0,"['Canada', 'India', 'Asia', 'US', 'Europe', 'Australia']"
61,VD151132,SUG1182,RTD temperature sensor,Temperature Sensor,SUGI ELECTRONICS LLP,3246.185384615385,2555.95,3738.55,46.21153846153846,3,99,0.015372973699362656,0.0,0.09897610921501707,"['Australia', 'Asia']"
62,VD151132,SUG1914,6-axis robotic arm,Robotic Arm,SUGI ELECTRONICS LLP,1999.1054545454544,1647.2,2465.17,50.81818181818182,4,100,0.020508802542336814,0.0,0.1,"['India', 'US']"
63,VD151132,SUG2259,Precision stepper motor with feedback,Stepper Motor,SUGI ELECTRONICS LLP,2594.222580645161,2100.63,3141.22,47.67741935483871,4,100,0.03305008350370257,0.0,1.0,"['Australia', 'US', 'Asia', 'Canada', 'India']"
64,VD151132,SUG2288,Compact 3D printer for prototyping,3D Printer,SUGI ELECTRONICS LLP,2884.1784905660375,2332.79,3481.71,55.0377358490566,4,100,0.03217452298016764,0.0,1.0,['India']
65,VD151132,SUG2739,Variable Frequency Drive for motor control,VFD Drive,SUGI ELECTRONICS LLP,2454.5548387096774,1975.72,2938.07,51.806451612903224,3,99,0.011927718228438973,0.0,0.09352517985611511,['Australia']
66,VD151132,SUG3807,Compact DC motor with high torque,12V DC Motor,SUGI ELECTRONICS LLP,2461.5243939393936,1999.81,2963.34,44.43939393939394,3,95,0.050042643012334756,0.0,1.0,"['Canada', 'US', 'India', 'Asia']"
67,VD151132,SUG4400,Pneumatic gripper for robotic arms,Gripper,SUGI ELECTRONICS LLP,989.7853191489362,777.7,1142.02,45.97872340425532,3,93,0.03663591815891835,0.0,1.0,"['Europe', 'Australia', 'Canada', 'Asia']"
68,VD151132,SUG5204,High-speed servo motor driver,Servo Motor Driver,SUGI ELECTRONICS LLP,3694.4659615384617,2995.8,4402.05,54.55769230769231,3,99,0.013196211377092096,0.0,0.1,"['Australia', 'Europe', 'Asia']"
69,VD151132,SUG5453,SPDT relay switch for automation,10A Relay Switch,SUGI ELECTRONICS LLP,2300.045897435897,1883.05,2815.25,51.05128205128205,6,100,0.03880008664398636,0.0,1.0,"['Asia', 'Australia']"
70,VD151132,SUG5717,Modular PLC for automation,PLC Controller,SUGI ELECTRONICS LLP,4093.329565217391,3268.11,4857.36,53.333333333333336,5,100,0.04449389875242213,0.0,1.0,"['US', 'Asia', 'Australia', 'Canada', 'Europe', 'India']"
71,VD151132,SUG7172,High-precision pressure sensor,Pressure Sensor,SUGI ELECTRONICS LLP,1759.0153191489362,1383.2,2066.46,48.787234042553195,5,100,0.03310565195122443,0.0,1.0,"['Canada', 'US']"
72,VD151132,SUG7937,High-precision 10K resistor,Resistor,SUGI ELECTRONICS LLP,1311.55575,1055.05,1536.06,56.725,3,99,0.03964668671606416,0.0,1.0,"['Canada', 'Australia', 'Europe']"
73,VD151132,SUG8650,Industrial control cabinet with locks,Control Cabinet,SUGI ELECTRONICS LLP,3737.5017857142857,3017.56,4464.8,51.44642857142857,8,95,0.009159015763823374,0.0,0.09883720930232558,"['Asia', 'India', 'Australia']"
74,VD151132,SUG9557,24V DC power supply,Power Supply,SUGI ELECTRONICS LLP,3485.0754285714283,2867.94,4238.82,57.02857142857143,4,100,0.021955997588746928,0.0,0.1,['Europe']
75,VD155065,COG1129,High-speed servo motor driver,Servo Motor Driver,COGNEX SENSORS INDIA PRIVATE LIMITED,2486.637755102041,2014.27,2962.23,46.673469387755105,3,95,0.027217598375827996,0.0,1.0,"['Australia', 'Europe', 'US', 'Canada', 'India', 'Asia']"
76,VD155065,COG1141,High-precision 10K resistor,Resistor,COGNEX SENSORS INDIA PRIVATE LIMITED,1834.576170212766,1463.46,2172.35,56.319148936170215,11,98,0.05985352425582237,0.0,1.0,"['Canada', 'India', 'Asia', 'Australia']"
77,VD155065,COG1385,Variable Frequency Drive for motor control,VFD Drive,COGNEX SENSORS INDIA PRIVATE LIMITED,1116.4320338983052,893.57,1326.46,54.33898305084746,4,96,0.04793258843589528,0.0,1.0,"['Australia', 'US']"
78,VD155065,COG1741,Pneumatic gripper for robotic arms,Gripper,COGNEX SENSORS INDIA PRIVATE LIMITED,2256.271282051282,1821.43,2701.09,43.05128205128205,3,96,0.015305844669812605,0.0,0.0967741935483871,"['US', 'Canada', 'Europe']"
79,VD155065,COG2245,Compact 3D printer for prototyping,3D Printer,COGNEX SENSORS INDIA PRIVATE LIMITED,3412.105476190476,2802.35,4120.45,42.857142857142854,3,98,0.023401829197696036,0.0,0.1,"['Canada', 'Europe', 'India', 'US']"
80,VD155065,COG2594,6-axis robotic arm,Robotic Arm,COGNEX SENSORS INDIA PRIVATE LIMITED,3049.1510638297873,2466.12,3633.82,54.765957446808514,3,96,0.015872830314703216,0.0,0.09420289855072464,"['Europe', 'Asia', 'US', 'Australia']"
81,VD155065,COG3063,Industrial control cabinet with locks,Control Cabinet,COGNEX SENSORS INDIA PRIVATE LIMITED,290.0647826086956,241.23,357.9,45.78260869565217,6,98,0.043059251893393616,0.0,1.0,"['US', 'Australia', 'India', 'Europe']"
82,VD155065,COG3571,SPDT relay switch for automation,10A Relay Switch,COGNEX SENSORS INDIA PRIVATE LIMITED,1079.4359183673469,864.1,1277.52,54.87755102040816,9,100,0.03488885475272668,0.0,1.0,['Global Certification']
83,VD155065,COG3691,Precision stepper motor with feedback,Stepper Motor,COGNEX SENSORS INDIA PRIVATE LIMITED,1070.7209375,867.2,1285.52,49.046875,3,99,0.018694768531465285,0.0,0.09947643979057591,"['US', 'India', 'Asia', 'Australia', 'Europe', 'Canada']"
84,VD155065,COG4712,Modular PLC for automation,PLC Controller,COGNEX SENSORS INDIA PRIVATE LIMITED,1393.8568518518518,1131.17,1683.4,60.092592592592595,8,100,0.03493262363979101,0.0,1.0,['Global Certification']
85,VD155065,COG4820,Compact DC motor with high torque,12V DC Motor,COGNEX SENSORS INDIA PRIVATE LIMITED,3141.1419230769234,2471.88,3697.16,50.40384615384615,3,100,0.011433258904115454,0.0,0.09278350515463918,"['US', 'India', 'Asia', 'Europe', 'Canada', 'Australia']"
86,VD155065,COG6402,High-precision pressure sensor,Pressure Sensor,COGNEX SENSORS INDIA PRIVATE LIMITED,2954.0018644067795,2311.57,3427.18,55.32203389830509,3,100,0.05008041942217963,0.0,1.0,"['US', 'Australia', 'Asia']"
87,VD155065,COG7189,RTD temperature sensor,Temperature Sensor,COGNEX SENSORS INDIA PRIVATE LIMITED,4289.3287234042555,3475.08,5137.63,51.829787234042556,4,99,0.014092950515758965,0.0,0.1,"['India', 'Australia', 'US', 'Canada', 'Asia']"
88,VD155065,COG9169,Inductive proximity sensor,Proximity Sensor,COGNEX SENSORS INDIA PRIVATE LIMITED,3398.0739999999996,2775.35,4112.98,46.15555555555556,5,98,0.04504996590538035,0.0,1.0,"['India', 'Canada', 'Europe']"
89,VD155065,COG9492,24V DC power supply,Power Supply,COGNEX SENSORS INDIA PRIVATE LIMITED,3725.5468421052633,3083.16,4468.16,53.473684210526315,3,100,0.047430339571860915,0.0,1.0,"['Canada', 'Australia', 'Europe', 'Asia', 'India', 'US']"
90,VD164810,DIA1096,Pneumatic gripper for robotic arms,Gripper,Diagnostic Automation & Controls Pvt. Ltd.,4209.020638297872,3468.05,5109.69,57.48936170212766,4,99,0.03536752151607044,0.0,1.0,"['India', 'Australia', 'US']"
91,VD164810,DIA1986,24V DC power supply,Power Supply,Diagnostic Automation & Controls Pvt. Ltd.,365.5125806451613,292.35,430.75,48.064516129032256,6,97,0.01439973283578191,0.0,0.09803921568627451,['India']
92,VD164810,DIA3311,Compact 3D printer for prototyping,3D Printer,Diagnostic Automation & Controls Pvt. Ltd.,3165.2697674418605,2468.17,3647.07,54.23255813953488,3,97,0.03659720972703753,0.0,1.0,['Europe']
93,VD164810,DIA3718,6-axis robotic arm,Robotic Arm,Diagnostic Automation & Controls Pvt. Ltd.,3693.8088235294117,3032.89,4488.99,45.35294117647059,3,97,0.02135292682745317,0.0,0.09950248756218906,"['Asia', 'Canada', 'India', 'US']"
94,VD164810,DIA3756,Modular PLC for automation,PLC Controller,Diagnostic Automation & Controls Pvt. Ltd.,4369.648499999999,3524.1,5194.51,58.3,4,100,0.009720242131824505,0.0,0.1,"['Asia', 'US', 'Australia', 'India', 'Canada', 'Europe']"
95,VD164810,DIA3994,High-precision pressure sensor,Pressure Sensor,Diagnostic Automation & Controls Pvt. Ltd.,120.93354838709678,97.73,145.49,47.67741935483871,3,95,0.026345091068014182,0.0,1.0,"['Europe', 'India', 'Canada']"
96,VD164810,DIA4573,Compact DC motor with high torque,12V DC Motor,Diagnostic Automation & Controls Pvt. Ltd.,4152.391041666667,3391.27,4921.54,50.395833333333336,3,98,0.03782562997325026,0.0,1.0,"['Asia', 'Canada', 'Europe', 'India', 'US']"
97,VD164810,DIA6090,Industrial control cabinet with locks,Control Cabinet,Diagnostic Automation & Controls Pvt. Ltd.,3636.6456603773586,2927.56,4293.65,48.54716981132076,4,100,0.05433089071125748,0.0,1.0,"['US', 'Canada', 'Asia', 'Australia']"
98,VD164810,DIA6360,RTD temperature sensor,Temperature Sensor,Diagnostic Automation & Controls Pvt. Ltd.,1577.0119298245613,1264.72,1855.31,48.6140350877193,4,99,0.06206216382858234,0.0,1.0,"['Asia', 'US', 'India', 'Canada']"
99,VD164810,DIA6793,Precision stepper motor with feedback,Stepper Motor,Diagnostic Automation & Controls Pvt. Ltd.,4824.938545454545,3938.6,5801.36,49.78181818181818,4,100,0.055386667484155376,0.0,1.0,"['Australia', 'Asia', 'US', 'Canada', 'India', 'Europe']"
100,VD164810,DIA6843,Variable Frequency Drive for motor control,VFD Drive,Diagnostic Automation & Controls Pvt. Ltd.,2460.4161818181815,2029.67,2892.8,49.6,5,100,0.034653256059350324,0.0,1.0,"['US', 'Asia', 'Europe', 'Australia']"
101,VD164810,DIA6844,SPDT relay switch for automation,10A Relay Switch,Diagnostic Automation & Controls Pvt. Ltd.,3652.252432432432,3029.94,4429.63,52.270270270270274,7,100,0.012356799093944503,0.0,0.05,"['Europe', 'Asia', 'India']"
102,VD164810,DIA8176,High-speed servo motor driver,Servo Motor Driver,Diagnostic Automation & Controls Pvt. Ltd.,4524.604827586207,3593.72,5367.27,57.46551724137931,3,100,0.03541409303323366,0.0,1.0,"['Europe', 'Canada', 'India', 'Asia']"
103,VD164810,DIA9407,High-precision 10K resistor,Resistor,Diagnostic Automation & Controls Pvt. Ltd.,3526.406444444445,2922.43,4274.19,52.84444444444444,5,97,0.05129536027328496,0.0,1.0,"['Canada', 'Europe', 'US', 'Asia', 'India']"
104,VD164810,DIA9821,Inductive proximity sensor,Proximity Sensor,Diagnostic Automation & Controls Pvt. Ltd.,3148.181111111111,2510.85,3729.27,58.05555555555556,9,100,0.04858121451758626,0.0,1.0,"['Canada', 'Europe', 'Asia', 'India', 'Australia']"
105,VD184670,SHR2481,High-precision 10K resistor,Resistor,SHREE SAI SOLUTIONS,684.1344444444444,549.65,805.38,52.80555555555556,3,98,0.017950408901143522,0.0,0.1,"['Asia', 'Canada', 'Europe', 'Australia', 'US']"
106,VD184670,SHR2482,SPDT relay switch for automation,10A Relay Switch,SHREE SAI SOLUTIONS,542.741,458.86,665.08,49.48,5,100,0.04141112769297613,0.0,1.0,"['Europe', 'Asia', 'Canada', 'US', 'Australia', 'India']"
107,VD184670,SHR2556,Precision stepper motor with feedback,Stepper Motor,SHREE SAI SOLUTIONS,548.2669565217391,450.9,666.81,52.0,3,99,0.01957513340285004,0.0,0.09836065573770492,['Asia']
108,VD184670,SHR2645,Modular PLC for automation,PLC Controller,SHREE SAI SOLUTIONS,679.5111320754717,536.71,797.17,49.056603773584904,4,100,0.033712319776720845,0.0,1.0,"['Asia', 'Europe']"
109,VD184670,SHR3541,Pneumatic gripper for robotic arms,Gripper,SHREE SAI SOLUTIONS,4029.834888888889,3269.52,4884.12,50.666666666666664,4,99,0.04367079219166451,0.0,1.0,"['Asia', 'Europe', 'India', 'Canada', 'Australia', 'US']"
110,VD184670,SHR3714,RTD temperature sensor,Temperature Sensor,SHREE SAI SOLUTIONS,2788.79,2261.78,3302.76,45.74,6,100,0.03484544605500415,0.0,1.0,"['US', 'Canada', 'India', 'Europe', 'Asia']"
111,VD184670,SHR3716,Inductive proximity sensor,Proximity Sensor,SHREE SAI SOLUTIONS,4896.130925925926,3911.05,5748.8,51.629629629629626,3,98,0.05551545464048538,0.0,1.0,"['Australia', 'Asia']"
